Referência;Grupo;Marca;Coleção;Cor (Pantone);Descrição Cor;Tam.;Qtd.
REST0944.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;P;3
REST0944.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0944.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;PP;3
REST0946;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0946;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST0947;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0953;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST0953;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;2
REST0955.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1414;Chanterelle TC;GG;1
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;GG;1
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;4
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;G;1
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;2
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;4
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;3
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;4
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;P;3
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;M;1
REST0958.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;PP;2
REST0958.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;P;2
REST0958.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;M;6
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;G;2
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;GG;1
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1526;Dark Red Brown TC;P;4
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;1
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST0960;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST0961;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0517;Dusky Green TC;PP;1
REST0961;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0517;Dusky Green TC;P;1
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1212;Fungi TC;PP;1
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1212;Fungi TC;M;2
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1212;Fungi TC;GG;2
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-3936;Ebb and Flow;M;6
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1212;Fungi TC;G;4
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-3936;Ebb and Flow;G;1
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0420;Four Leaf Clover TC;PP;2
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-3936;Ebb and Flow;GG;1
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0420;Four Leaf Clover TC;GG;1
REST0962.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1212;Fungi TC;P;2
REST0965;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;2
REST0965;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1508;Adobe Rose TC;PP;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-2524;Dark Purple TC;M;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-2524;Dark Purple TC;P;2
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1508;Adobe Rose TC;G;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1508;Adobe Rose TC;M;2
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1508;Adobe Rose TC;P;2
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;4
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;2
REST0966;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-2524;Dark Purple TC;PP;2
REST0967;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-0715;Double Cream TC;G;2
REST0967;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-0715;Double Cream TC;M;4
REST0967;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-0715;Double Cream TC;GG;2
REST0967;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-0715;Double Cream TC;P;5
REST0968;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-5806;CINZA (Ageve Green TCX);G;3
REST0968;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1725;Tawny Port TC;G;3
REST0968;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1725;Tawny Port TC;M;2
REST0968;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-5806;CINZA (Ageve Green TCX);M;1
REST0969;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-1404;Pink Tint TC;M;1
REST0970;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST0970;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;2
REST0970;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1419;Peach Pearl TC;G;2
REST0970;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1419;Peach Pearl TC;M;2
REST0970;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1419;Peach Pearl TC;P;1
REST0972;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;1
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;4
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1208;Irish Cream;G;4
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1208;Irish Cream;P;5
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1208;Irish Cream;M;7
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1208;Irish Cream;GG;2
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;12-0304;Whitecap Gray TC;PP;1
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1208;Irish Cream;PP;1
REST0976;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;4
REST0977.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-2336;Very Berry TC;G;3
REST0977.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-2336;Very Berry TC;M;1
REST0977.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1317;Bitter Chocolate TC;GG;1
REST0977.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1317;Bitter Chocolate TC;G;1
REST0977.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1317;Bitter Chocolate TC;M;4
REST0977.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-2336;Very Berry TC;GG;1
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;11-0601;Bright White TC;M;2
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;15-1040;ICED COFFEE;P;2
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;15-1040;ICED COFFEE;GG;2
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;15-1040;ICED COFFEE;G;2
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;11-0601;Bright White TC;G;1
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;11-0601;Bright White TC;GG;2
REST0978;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;15-1040;ICED COFFEE;M;1
REST0979;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;PADRAO;Padrão;G;6
REST0979;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;PADRAO;Padrão;M;5
REST0980;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1213;Shopping Bag TC;P;1
REST0981;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST0981;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1521;Red Mahogany TC;P;2
REST0981;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;6
REST0981;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1521;Red Mahogany TC;G;1
REST0982.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-0928;Curry TC;PP;2
REST0982.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST0982.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-0928;Curry TC;M;1
REST0982.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0989;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2025 Primeira Entrada;19-0000;Raven TC;Padrão;107
REST0989;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2025 Primeira Entrada;17-1224;Camel TC;Padrão;43
REST0991;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2025 Primeira Entrada;18-1314;Acorn TC;Padrão;28
REST0992;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2025 Primeira Entrada;19-1321;Deep Red Brown TC;Padrão;22
REST0992;PEÇAS BOAS;RITMI STUDIO;PL INVERNO 2025 Primeira Entrada;19-0000;Raven TC;Padrão;15
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;G;1
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;1
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;M;1
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;G;3
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;PP;1
REST0995.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;GG;1
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;GG;1
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;PP;2
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;P;1
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;G;1
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;P;1
REST0995.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-0929;Olive Green TC;M;1
REST0999.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1557;Chili Pepper TC;M;1
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1220;Cappuccino TC;G;2
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1312;Deep Taupe TC;M;4
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1312;Deep Taupe TC;G;1
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1312;Deep Taupe TC;P;3
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1220;Cappuccino TC;M;3
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1220;Cappuccino TC;P;3
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1220;Cappuccino TC;GG;1
REST1001.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1557;Chili Pepper TC;G;4
REST1001.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1220;Cappuccino TC;G;1
REST1001.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1557;Chili Pepper TC;G;3
REST1001.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1312;Deep Taupe TC;GG;1
REST1001.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1557;Chili Pepper TC;P;1
REST1004;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST1004;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;1
REST1005.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-5917;Malachite Green TC;PP;1
REST1005.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-5917;Malachite Green TC;GG;2
REST1005.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;2
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1528;Windsor Wine TC;PP;1
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1528;Windsor Wine TC;GG;1
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1228;Root Beer TC;M;4
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1528;Windsor Wine TC;G;3
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1228;Root Beer TC;P;4
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1228;Root Beer TC;PP;1
REST1008;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1528;Windsor Wine TC;P;2
REST1010;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1224;Camel TC;M;2
REST1010;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1224;Camel TC;G;2
REST1010;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;17-1224;Camel TC;GG;1
REST1010;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-4020;Della Robbia Blue TC;GG;1
REST1013.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0832;Plantation TC;M;4
REST1013.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0832;Plantation TC;GG;2
REST1013.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0832;Plantation TC;P;5
REST1013.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0832;Plantation TC;G;5
REST1013.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0832;Plantation TC;GG;1
REST1016.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0614;Wren TC;G;1
REST1016.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0614;Wren TC;M;1
REST1016.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-4305;Pirate Black TC;M;1
REST1018;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;2
REST1019;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0815;Desert Palm TC;P;1
REST1020;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-4107;(CINZA) Quiet Gray TCX;PP;2
REST1020;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1148;Caramel Café;PP;1
REST1021.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;14-1209;Smoke Gray TC;G;1
REST1021.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1327;Toasted Nut TC;GG;1
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;1
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1327;Toasted Nut TC;P;2
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;3
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1327;Toasted Nut TC;M;1
REST1024.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1024.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1327;Toasted Nut TC;GG;2
REST1024.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;1
REST1024.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;16-1327;Toasted Nut TC;P;2
REST1027;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1027;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1116;Olive Brown TC;GG;2
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;11-0602;Snow White TC;P;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;11-0602;Snow White TC;GG;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;18-0117;Vineyard Green TC;M;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;19-1223;Downtown Brown;GG;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;19-1223;Downtown Brown;G;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;19-1223;Downtown Brown;PP;1
REST1028;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2026;11-0602;Snow White TC;M;2
REST1031.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1223;Downtown Brown;GG;2
REST1031.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1031.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1223;Downtown Brown;P;2
REST1031.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1223;Downtown Brown;M;1
REST1031.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;15-1119;Drab Gray TC;GG;2
REST1035.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;3
REST1035.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;PP;1
REST1035.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST1035.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-1048;Monk?s Robe TC;GG;2
REST1035.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1037.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST1037.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;1
REST1037.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1121;Pinecone TC;GG;1
REST1037.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;GG;1
REST1037.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;6
REST1039.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1321;Deep Red Brown TC;G;1
REST1039.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0322;Cypress TC;GG;1
REST1039.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-3815;AZUL (Evening Blue);GG;2
REST1039.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1321;Deep Red Brown TC;M;1
REST1039.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0322;Cypress TC;M;2
REST1039.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0322;Cypress TC;P;1
REST1039.3;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1321;Deep Red Brown TC;M;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;G;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;M;3
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;GG;1
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;P;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;M;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;P;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;P;1
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;GG;2
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;G;1
REST1044.1;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;M;2
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;P;2
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;M;4
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-1429;Smoked Paprika;GG;2
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;19-0000;Raven TC;G;1
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;GG;1
REST1044.2;PEÇAS BOAS;RITMI STUDIO;RITMI STUDIO INVERNO 2025;18-0430;Avocado TC;P;3
